Constructing Redis connection URL from environment variables (Protocol: redis).
Connecting to: redis://<username>:<password>@10.41.94.3:6379/0
[DataManager] Data source preference set to: redis
DataManager initialized with Redis client (connecting).
Attempting to connect to Redis...
Redis client is ready (from db.ts promise).
Redis client is ready.
DataManager: Redis client ready.
[DataManager] Data loaded successfully from Redis for: providers
Testing 222 provider(s) for 17 model(s) via models-list...
ok: gemini-t?-07393ec0 -> veo-2.0-generate-001
ok: gemini-t?-07393ec0 -> veo-3.0-generate-001
ok: gemini-t?-07393ec0 -> veo-3.0-fast-generate-001
ok: gemini-t?-07393ec0 -> veo-3.1-generate-preview
ok: gemini-t?-07393ec0 -> veo-3.1-fast-generate-preview
ok: gemini-t?-0f19e536 -> veo-2.0-generate-001
ok: gemini-t?-0f19e536 -> veo-3.0-generate-001
ok: gemini-t?-0f19e536 -> veo-3.0-fast-generate-001
ok: gemini-t?-0f19e536 -> veo-3.1-generate-preview
ok: gemini-t?-0f19e536 -> veo-3.1-fast-generate-preview
ok: gemini-t?-126afd97 -> veo-2.0-generate-001
ok: gemini-t?-126afd97 -> veo-3.0-generate-001
ok: gemini-t?-126afd97 -> veo-3.0-fast-generate-001
ok: gemini-t?-126afd97 -> veo-3.1-generate-preview
ok: gemini-t?-126afd97 -> veo-3.1-fast-generate-preview
ok: gemini-t?-178ba473 -> veo-2.0-generate-001
ok: gemini-t?-178ba473 -> veo-3.0-generate-001
ok: gemini-t?-178ba473 -> veo-3.0-fast-generate-001
ok: gemini-t?-178ba473 -> veo-3.1-generate-preview
ok: gemini-t?-178ba473 -> veo-3.1-fast-generate-preview
ok: gemini-t?-1c5b6e63 -> veo-2.0-generate-001
ok: gemini-t?-1c5b6e63 -> veo-3.0-generate-001
ok: gemini-t?-1c5b6e63 -> veo-3.0-fast-generate-001
ok: gemini-t?-1c5b6e63 -> veo-3.1-generate-preview
ok: gemini-t?-1c5b6e63 -> veo-3.1-fast-generate-preview
ok: gemini-t?-21df3ac7 -> veo-2.0-generate-001
ok: gemini-t?-21df3ac7 -> veo-3.0-generate-001
ok: gemini-t?-21df3ac7 -> veo-3.0-fast-generate-001
ok: gemini-t?-21df3ac7 -> veo-3.1-generate-preview
ok: gemini-t?-21df3ac7 -> veo-3.1-fast-generate-preview
ok: gemini-t?-2928b56d -> veo-2.0-generate-001
ok: gemini-t?-2928b56d -> veo-3.0-generate-001
ok: gemini-t?-2928b56d -> veo-3.0-fast-generate-001
ok: gemini-t?-2928b56d -> veo-3.1-generate-preview
ok: gemini-t?-2928b56d -> veo-3.1-fast-generate-preview
ok: gemini-t?-4a4d9cef -> veo-2.0-generate-001
ok: gemini-t?-4a4d9cef -> veo-3.0-generate-001
ok: gemini-t?-4a4d9cef -> veo-3.0-fast-generate-001
ok: gemini-t?-4a4d9cef -> veo-3.1-generate-preview
ok: gemini-t?-4a4d9cef -> veo-3.1-fast-generate-preview
ok: gemini-t?-650f2c9d -> veo-2.0-generate-001
ok: gemini-t?-650f2c9d -> veo-3.0-generate-001
ok: gemini-t?-650f2c9d -> veo-3.0-fast-generate-001
ok: gemini-t?-650f2c9d -> veo-3.1-generate-preview
ok: gemini-t?-650f2c9d -> veo-3.1-fast-generate-preview
ok: gemini-t?-8b3b2b26 -> veo-2.0-generate-001
ok: gemini-t?-8b3b2b26 -> veo-3.0-generate-001
ok: gemini-t?-8b3b2b26 -> veo-3.0-fast-generate-001
ok: gemini-t?-8b3b2b26 -> veo-3.1-generate-preview
ok: gemini-t?-8b3b2b26 -> veo-3.1-fast-generate-preview
ok: gemini-t?-c1f595a5 -> veo-2.0-generate-001
ok: gemini-t?-c1f595a5 -> veo-3.0-generate-001
ok: gemini-t?-c1f595a5 -> veo-3.0-fast-generate-001
ok: gemini-t?-c1f595a5 -> veo-3.1-generate-preview
ok: gemini-t?-c1f595a5 -> veo-3.1-fast-generate-preview
ok: gemini-t?-c40f4848 -> veo-2.0-generate-001
ok: gemini-t?-c40f4848 -> veo-3.0-generate-001
ok: gemini-t?-c40f4848 -> veo-3.0-fast-generate-001
ok: gemini-t?-c40f4848 -> veo-3.1-generate-preview
ok: gemini-t?-c40f4848 -> veo-3.1-fast-generate-preview
ok: gemini-t?-cf83f98f -> veo-2.0-generate-001
ok: gemini-t?-cf83f98f -> veo-3.0-generate-001
ok: gemini-t?-cf83f98f -> veo-3.0-fast-generate-001
ok: gemini-t?-cf83f98f -> veo-3.1-generate-preview
ok: gemini-t?-cf83f98f -> veo-3.1-fast-generate-preview
ok: gemini-t?-d25c104f -> veo-2.0-generate-001
ok: gemini-t?-d25c104f -> veo-3.0-generate-001
ok: gemini-t?-d25c104f -> veo-3.0-fast-generate-001
ok: gemini-t?-d25c104f -> veo-3.1-generate-preview
ok: gemini-t?-d25c104f -> veo-3.1-fast-generate-preview
ok: gemini-t?-d3b2bed8 -> veo-2.0-generate-001
ok: gemini-t?-d3b2bed8 -> veo-3.0-generate-001
ok: gemini-t?-d3b2bed8 -> veo-3.0-fast-generate-001
ok: gemini-t?-d3b2bed8 -> veo-3.1-generate-preview
ok: gemini-t?-d3b2bed8 -> veo-3.1-fast-generate-preview
ok: gemini-t?-d89f3af46710 -> veo-2.0-generate-001
ok: gemini-t?-d89f3af46710 -> veo-3.0-generate-001
ok: gemini-t?-d89f3af46710 -> veo-3.0-fast-generate-001
ok: gemini-t?-d89f3af46710 -> veo-3.1-generate-preview
ok: gemini-t?-d89f3af46710 -> veo-3.1-fast-generate-preview
ok: gemini-t?-e13da170 -> veo-2.0-generate-001
ok: gemini-t?-e13da170 -> veo-3.0-generate-001
ok: gemini-t?-e13da170 -> veo-3.0-fast-generate-001
ok: gemini-t?-e13da170 -> veo-3.1-generate-preview
ok: gemini-t?-e13da170 -> veo-3.1-fast-generate-preview
ok: gemini-t?-e8b229cb -> veo-2.0-generate-001
ok: gemini-t?-e8b229cb -> veo-3.0-generate-001
ok: gemini-t?-e8b229cb -> veo-3.0-fast-generate-001
ok: gemini-t?-e8b229cb -> veo-3.1-generate-preview
ok: gemini-t?-e8b229cb -> veo-3.1-fast-generate-preview
ok: gemini-t?-ec1f8db1 -> veo-2.0-generate-001
ok: gemini-t?-ec1f8db1 -> veo-3.0-generate-001
ok: gemini-t?-ec1f8db1 -> veo-3.0-fast-generate-001
ok: gemini-t?-ec1f8db1 -> veo-3.1-generate-preview
ok: gemini-t?-ec1f8db1 -> veo-3.1-fast-generate-preview
ok: gemini-t?-ec43ec49 -> veo-2.0-generate-001
ok: gemini-t?-ec43ec49 -> veo-3.0-generate-001
ok: gemini-t?-ec43ec49 -> veo-3.0-fast-generate-001
ok: gemini-t?-ec43ec49 -> veo-3.1-generate-preview
ok: gemini-t?-ec43ec49 -> veo-3.1-fast-generate-preview
ok: gemini-t?-f2dc413b -> veo-2.0-generate-001
ok: gemini-t?-f2dc413b -> veo-3.0-generate-001
ok: gemini-t?-f2dc413b -> veo-3.0-fast-generate-001
ok: gemini-t?-f2dc413b -> veo-3.1-generate-preview
ok: gemini-t?-f2dc413b -> veo-3.1-fast-generate-preview
ok: gemini-t?-f954d0a4 -> veo-2.0-generate-001
ok: gemini-t?-f954d0a4 -> veo-3.0-generate-001
ok: gemini-t?-f954d0a4 -> veo-3.0-fast-generate-001
ok: gemini-t?-f954d0a4 -> veo-3.1-generate-preview
ok: gemini-t?-f954d0a4 -> veo-3.1-fast-generate-preview
ok: gemini-t?-f9682cfe -> veo-2.0-generate-001
ok: gemini-t?-f9682cfe -> veo-3.0-generate-001
ok: gemini-t?-f9682cfe -> veo-3.0-fast-generate-001
ok: gemini-t?-f9682cfe -> veo-3.1-generate-preview
ok: gemini-t?-f9682cfe -> veo-3.1-fast-generate-preview
ok: gemini-t?-ffe0f9e8 -> veo-2.0-generate-001
ok: gemini-t?-ffe0f9e8 -> veo-3.0-generate-001
ok: gemini-t?-ffe0f9e8 -> veo-3.0-fast-generate-001
ok: gemini-t?-ffe0f9e8 -> veo-3.1-generate-preview
ok: gemini-t?-ffe0f9e8 -> veo-3.1-fast-generate-preview
ok: gemini-t1-004 -> veo-2.0-generate-001
ok: gemini-t1-004 -> veo-3.0-generate-001
ok: gemini-t1-004 -> veo-3.0-fast-generate-001
ok: gemini-t1-004 -> veo-3.1-generate-preview
ok: gemini-t1-004 -> veo-3.1-fast-generate-preview
ok: gemini-t1-008 -> veo-2.0-generate-001
ok: gemini-t1-008 -> veo-3.0-generate-001
ok: gemini-t1-008 -> veo-3.0-fast-generate-001
ok: gemini-t1-008 -> veo-3.1-generate-preview
ok: gemini-t1-008 -> veo-3.1-fast-generate-preview
ok: gemini-t1-012 -> veo-2.0-generate-001
ok: gemini-t1-012 -> veo-3.0-generate-001
ok: gemini-t1-012 -> veo-3.0-fast-generate-001
ok: gemini-t1-012 -> veo-3.1-generate-preview
ok: gemini-t1-012 -> veo-3.1-fast-generate-preview
ok: gemini-t1-020 -> veo-2.0-generate-001
ok: gemini-t1-020 -> veo-3.0-generate-001
ok: gemini-t1-020 -> veo-3.0-fast-generate-001
ok: gemini-t1-020 -> veo-3.1-generate-preview
ok: gemini-t1-020 -> veo-3.1-fast-generate-preview
ok: gemini-t1-031 -> veo-2.0-generate-001
ok: gemini-t1-031 -> veo-3.0-generate-001
ok: gemini-t1-031 -> veo-3.0-fast-generate-001
ok: gemini-t1-031 -> veo-3.1-generate-preview
